Group,Participants,Success,Jeff_low,Jeff_high,std,comb_Success,comb_Jeff_low,comb_Jeff_high,comb_std,interactivity,useful,sound
Global,67,0.5161691542288557,0.4985355681887109,0.5337625484401075,0.16951467436675835,0.15671641791044777,0.12791040043508614,0.1906251188815431,0.010553832555023108,80.95238095238095,79.1044776119403,58.2089552238806
Non-BLV astronomers,2,0.5,0.4000202837474241,0.599979716252576,0.30151134457776363,0.5,0.27759981233453124,0.7224001876654688,0.7071067811865476,100.0,50.0,100.0
BLV astronomers,2,0.5416666666666666,0.4403318170259321,0.6396151691290617,0.39648073054937955,0.0,0.0,0.20792572248922978,0.0,50.0,100.0,100.0
