Group,Participants,Success,Jeff_low,Jeff_high,std,comb_Success,comb_Jeff_low,comb_Jeff_high,comb_std,interactivity,useful,sound
Global,67,0.5161691542288557,0.4985355681887109,0.5337625484401075,0.16951467436675835,0.15671641791044777,0.12791040043508614,0.1906251188815431,0.010553832555023108,80.95238095238095,79.1044776119403,58.2089552238806
<21,1,0.25,0.14870221524834829,0.3909650696225091,0.45226701686664544,0.0,0.0,0.3541583740535649,0.0,0.0,100.0,100.0
21-30,18,0.5555555555555556,0.5215664285981403,0.5890317040495544,0.1953442384425628,0.08333333333333333,0.048342164801496765,0.14115867239825686,0.039283710065919304,77.77777777777779,77.77777777777779,55.55555555555556
31-40,9,0.5092592592592592,0.4612913040302384,0.5570566968931643,0.22946936951384259,0.16666666666666666,0.09785525852082567,0.2713660558051393,0.07856742013183861,80.0,77.77777777777779,44.44444444444444
41-50,21,0.5555555555555555,0.5240950456015018,0.5865761952934255,0.19298492195071343,0.21428571428571427,0.1581839251022315,0.2838079596943919,0.03367175148507369,80.0,80.95238095238095,52.38095238095239
51-60,6,0.4444444444444445,0.38704937855996346,0.5033699208777129,0.21711298242630986,0.3333333333333333,0.21544486170307625,0.4776494598953167,0.0,80.0,66.66666666666666,83.33333333333334
>60,10,0.45,0.4051869588746279,0.4956422214683095,0.24679767200905864,0.05,0.02089307837578291,0.12307481537613862,0.07071067811865477,87.5,90.0,80.0
