Group,Participants,Success,Jeff_low,Jeff_high,std,comb_Success,comb_Jeff_low,comb_Jeff_high,comb_std,interactivity,useful,sound
Global,67,0.5161691542288557,0.4985355681887109,0.5337625484401075,0.16951467436675835,0.15671641791044777,0.12791040043508614,0.1906251188815431,0.010553832555023108,80.95238095238095,79.1044776119403,58.2089552238806
Astronomers,31,0.553763440860215,0.5278799555719825,0.5793583403585316,0.1880113823288914,0.14516129032258063,0.10621112561396356,0.19545766040809964,0.11404948083653992,76.19047619047619,74.19354838709677,51.61290322580645
Non-astronomers,31,0.4811827956989246,0.45536258318464806,0.507104013075904,0.1709474526406951,0.1935483870967742,0.1485106752936728,0.2483815868873619,0.09123958466923193,82.35294117647058,80.64516129032258,64.51612903225806
Astromus,11,0.5454545454545455,0.5019351334371438,0.5882883734518755,0.22932953595886954,0.13636363636363635,0.07970543451452472,0.2252620473863165,0.0642824346533225,75.0,63.63636363636363,45.45454545454545
AstroNonMus,13,0.5769230769230769,0.5370007086584869,0.6158630287764449,0.18698939800169143,0.11538461538461539,0.06723889857486266,0.19251437257647974,0.05439282932204212,66.66666666666666,76.92307692307693,53.84615384615385
MusNonAstro,11,0.4848484848484847,0.4416273220971117,0.5282981748669604,0.22042010750300292,0.36363636363636365,0.2692649939859611,0.47007222586434605,0.128564869306645,83.33333333333334,81.81818181818183,63.63636363636363
Nothing,12,0.5555555555555556,0.5139047328348425,0.5964379779594244,0.18577347634090427,0.20833333333333331,0.1384033804027873,0.30199198181474707,0.05892556509887897,55.55555555555556,83.33333333333334,58.333333333333336
